,dayl,prcp,srad,swe,tmax,tmin,vp,TM
1827,34905.59,14.47,174.07,0.0,20.51,9.37,1189.66,1985-01-01
1828,34905.59,8.94,211.42,0.0,15.02,1.15,662.55,1985-01-02
1829,34914.43,6.27,67.93,0.0,3.32,-0.08,607.62,1985-01-03
1830,34987.14,8.66,134.73,0.0,4.0,-3.16,484.44,1985-01-04
1831,35097.22,0.0,195.62,0.0,-0.81,-8.55,318.09,1985-01-05
1832,35235.14,0.0,249.48,0.0,2.79,-7.9,333.26,1985-01-06
1833,35251.17,0.0,244.03,0.0,6.06,-4.46,438.35,1985-01-07
1834,35251.17,0.0,235.04,0.0,6.85,-3.03,480.23,1985-01-08
1835,35251.17,0.0,259.66,0.0,7.08,-4.31,445.18,1985-01-09
1836,35251.17,3.99,174.37,0.0,7.76,-1.35,555.45,1985-01-10
1837,35332.73,4.05,172.77,0.0,5.55,-3.66,467.86,1985-01-11
1838,35493.88,0.0,146.87,0.0,-1.49,-6.93,363.1,1985-01-12
1839,35596.79,0.0,257.06,0.0,-0.29,-10.89,272.77,1985-01-13
1840,35596.79,0.0,276.49,0.0,3.73,-8.16,328.32,1985-01-14
1841,35596.79,0.0,307.73,0.0,5.53,-9.0,307.41,1985-01-15
1842,35605.63,0.24,265.7,0.0,1.93,-9.04,305.11,1985-01-16
1843,35839.5,11.48,149.57,0.0,3.32,-4.18,447.99,1985-01-17
1844,35942.39,0.0,232.09,0.0,5.15,-3.93,445.71,1985-01-18
1845,35942.39,0.0,293.34,0.0,9.02,-3.8,456.09,1985-01-19
1846,35942.39,2.43,362.28,0.0,7.62,-21.97,107.15,1985-01-20
1847,36023.92,0.0,356.2,0.0,-12.99,-27.0,77.01,1985-01-21
1848,36287.99,0.0,367.78,0.0,-6.53,-21.46,117.67,1985-01-22
1849,36287.99,0.0,385.39,0.0,1.15,-15.93,178.9,1985-01-23
1850,36287.99,0.0,356.19,0.0,6.27,-7.92,326.51,1985-01-24
1851,36369.55,0.0,361.96,0.0,8.46,-6.11,391.59,1985-01-25
1852,36633.61,0.0,399.23,0.0,5.14,-13.27,218.0,1985-01-26
1853,36633.61,0.0,361.42,0.0,1.82,-11.89,247.08,1985-01-27
1854,36633.61,8.0,165.3,0.0,2.62,-4.24,441.08,1985-01-28
1855,36825.24,0.06,273.7,0.0,1.18,-7.6,343.29,1985-01-29
1856,36979.21,4.07,238.86,0.0,4.9,-4.77,431.54,1985-01-30
1857,36979.21,17.84,153.57,0.0,7.74,0.96,647.47,1985-01-31
1858,36988.06,43.98,195.67,0.0,6.04,-2.73,501.22,1985-02-01
1859,37324.81,18.04,138.75,0.0,-0.92,-6.28,382.58,1985-02-02
1860,37324.81,0.0,184.08,0.0,-3.9,-9.17,301.06,1985-02-03
1861,37324.81,0.0,259.72,0.0,0.1,-7.65,342.2,1985-02-04
